City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
245,zarghun shahr,32.8473,68.4457,275.64,45,0,0.7,AF,2023-11-11
246,portland,45.5234,-122.6762,283.49,86,100,3.13,US,2023-11-11
247,caleta de carquin,-11.0925,-77.6267,292.4,85,18,4.07,PE,2023-11-11
248,flying fish cove,-10.4217,105.6791,300.97,69,40,5.66,CX,2023-11-11
249,mugeni,46.25,25.2167,278.79,87,49,2.52,RO,2023-11-11
250,nizhnegorskiy,45.4479,34.7384,284.24,65,100,7.26,UA,2023-11-11
251,recani,31.2846,-4.2688,292.05,25,25,2.04,MA,2023-11-11
252,la passe,45.5549,-0.8967,282.28,72,100,2.92,FR,2023-11-11
253,bac lieu,9.285,105.7244,301.77,80,100,7.04,VN,2023-11-11
254,nueva gerona,21.8833,-82.8,300.42,80,8,3.99,CU,2023-11-11
255,margate,51.3813,1.3862,278.36,87,6,3.13,GB,2023-11-11
256,kununurra,-15.7667,128.7333,306.14,58,11,2.57,AU,2023-11-11
257,happy valley-goose bay,53.3168,-60.3315,269.38,89,100,3.47,CA,2023-11-11
258,corner brook,48.9667,-57.9484,273.24,98,100,2.67,CA,2023-11-11
259,polyarnyy,69.1989,33.4478,265.82,96,65,3.2,RU,2023-11-11
260,kalmunai,7.4167,81.8167,299.93,82,7,1.43,LK,2023-11-11
261,porto novo,6.4965,2.6036,299.84,85,93,2.93,BJ,2023-11-11
262,manokwari,-0.8667,134.0833,301.32,75,100,0.7,ID,2023-11-11
263,nizhniy kuranakh,58.8353,125.4869,261.16,92,100,2.41,RU,2023-11-11
264,uptown,49.2137,-122.9248,281.33,90,100,4.47,CA,2023-11-11
265,edinburg,55.9521,-3.1965,277.61,84,75,3.09,GB,2023-11-11
266,gisborne,-38.6533,178.0042,287.49,61,19,5.31,NZ,2023-11-11
267,el nido,11.1858,119.3956,302.77,72,79,6.15,PH,2023-11-11
268,holualoa,19.6228,-155.9522,297.5,80,100,3.09,US,2023-11-11
269,altai,46.3722,96.2583,260.87,87,13,0.77,MN,2023-11-11
270,souillac,-20.5167,57.5167,296.36,88,40,1.03,MU,2023-11-11
271,mangrol,21.1167,70.1167,299.77,59,16,3.84,IN,2023-11-11
272,akjoujt,19.6969,-14.4164,297.81,18,0,3.93,MR,2023-11-11
273,rabaul,-4.1967,152.1721,301.48,75,100,4.14,PG,2023-11-11
274,myitkyina,25.3833,97.4,294.66,54,0,1.0,MM,2023-11-11
275,oamaru,-45.0784,170.9801,289.3,71,1,6.58,NZ,2023-11-11
